Category;EXXXXX;Equities;Financial instruments representing an ownership interest in an entity or pool of assets.
AttributeValue;DCXJXX;J;Junior subordinated (applies to junior subordinated debts in the ranking in the event of liquidation);
AttributeValue;DCXCXX;C;Supranational (organization defined as being beyond the scope or borders of any one nation such as two or more central banks or two or more central governments. Examples of supranational include the United Nations, the European Union, the European Investment Bank and the World Bank);
Attribute;ThirdAttribute;Redemption/reimbursement;indicates the retirement provisions made for the debt issue;
AttributeValue;DCXXFX;F;Fixed maturity (the principal amount is repaid in full at maturity);
AttributeValue;DCXXGX;G;Fixed maturity with call feature (the issue may be called for redemption prior to the fixed maturity date);
AttributeValue;DCXXCX;C;Fixed maturity with put feature (the holder may request the reimbursement of his bonds prior to the maturity date);
AttributeValue;DCXXDX;D;Fixed maturity with put and call;
AttributeValue;DCXXAX;A;Amortization plan (reduction of principal by regular payments);
AttributeValue;DCXXBX;B;Amortization plan with call feature (the redemption of principal may occur as the result of the outstanding portion of the bond being called);
AttributeValue;DCXXTX;T;Amortization plan with put feature;
AttributeValue;DCXXLX;L;Amortization plan with put and call;
AttributeValue;DCXXPX;P;Perpetual (the debt instrument has no fixed maturity date and is only due for redemption in the case of the issuer's liquidation);
AttributeValue;DCXXQX;Q;Perpetual with call feature (the issue may be called for redemption at some time in the future);
AttributeValue;DCXXRX;R;Perpetual with put feature (the issue may be puttable for redemption at some time in the future);
AttributeValue;DCXXEX;E;Extendible;
Attribute;FourthAttribute;Form;negotiability, transmission;
AttributeValue;DCXXXB;B;Bearer (the owner is not registered in the books of the issuer or of the registrar);
AttributeValue;DCXXXR;R;Registered (securities are recorded in the name of the owner on the books of the issuer or the issuer's registrar and can only be transferred to another owner when endorsed by the registered owner);
AttributeValue;DCXXXN;N;Bearer/registered (securities are issued in both bearer and registered form but with the same identification number);
AttributeValue;DCXXXZ;Z;Bearer depository receipt (Receipt - in bearer form - for securities issued in a foreign market to promote trading outside the home country of the underlying securities.);
AttributeValue;DCXXXM;M;Others (miscellaneous);
AttributeValue;DCXXXA;A;Registered depository receipt (e g ADR, Receipt - in registered form -for securities issued in a foreign market to promote trading outside the home country of the underlying securities);
Group;DWXXXX;Bonds with warrants attached;"A bond that is issued together with one or more warrant(s) attached as part of the offer, the warrant(s) granting the holder the right to purchase a designated security, often the common stock of the issuer of the debt, at a specified price.";
Attribute;FirstAttribute;Type of interest or cash payment;;
AttributeValue;DWFXXX;F;Fixed rate (all interest payments are known at issuance and remain constant for the life of the issue);
AttributeValue;DWZXXX;Z;"Zero rate/discounted [no periodical interest payments are made; the interest charge (discount) is the difference between maturity value and proceeds at time of acquisition]";
AttributeValue;DWVXXX;V;"Variable (the interest rate is subject to adjustment through the life of the issue; includes graduated, i.e. step-up/step-down, floating and indexed interest rates)";
AttributeValue;DWKXXX;K;Payment in kind (pays interest using other assets instead of cash);
Attribute;SecondAttribute;Guarantee or ranking;indicates, in the case of the issuer's inability to settle, whether the debt issue is additionally secured): Guideline: the values N (senior), O (senior subordinated), Q (junior) and J (junior subordinated) may only be used for unsecured securities. P (negative pledge) may only be used for unsecured securities that are neither senior nor junior. U (unsecured) may be used only if one of these codes does not apply to the relevant security.;
AttributeValue;DWXTXX;T;Government guarantee [the debt instrument is guaranteed by a federal, state, (semi)-government, sovereigns, agencies];
AttributeValue;DWXGXX;G;"Joint guarantee [the debt instrument is guaranteed by an entity (e.g. corporation) other than the issuer; not a federal or state government]";
AttributeValue;DWXSXX;S;Secured (debt issue against which specific assets are pledged to secure the obligation, e.g. mortgage or receivables);
AttributeValue;DWXUXX;U;Unsecured/unguaranteed (the direct obligations of the issuer rest solely on its general credit);
AttributeValue;DWXPXX;P;Negative pledge (the borrower agrees not to pledge any assets if such pledging would result in less security for the agreement's bondholders);
AttributeValue;DWXNXX;N;Senior (applies to senior debts that are placed before senior subordinated, junior and junior subordinated in the ranking in the event of liquidation);
AttributeValue;DWXOXX;O;Senior subordinated (applies to senior subordinated debts that are placed before junior and junior subordinated in the ranking in the event of liquidation);
AttributeValue;DWXQXX;Q;Junior (applies to junior debts that are placed before junior subordinated in the ranking in the event of liquidation);
AttributeValue;DWXJXX;J;Junior subordinated (applies to junior subordinated debts in the ranking in the event of liquidation);
AttributeValue;DWXCXX;C;Supranational (organization defined as being beyond the scope or borders of any one nation such as two or more central banks or two or more central governments. Examples of supranational include the United Nations, the European Union, the European Investment Bank and the World Bank);
Attribute;ThirdAttribute;Redemption/reimbursement;indicates the retirement provisions made for the debt issue;
AttributeValue;DWXXFX;F;Fixed maturity (the principal amount is repaid in full at maturity);
AttributeValue;DWXXGX;G;Fixed maturity with call feature (the issue may be called for redemption prior to the fixed maturity date);
AttributeValue;DWXXCX;C;Fixed maturity with put feature (the holder may request the reimbursement of his bonds prior to the maturity date);
AttributeValue;DWXXDX;D;Fixed maturity with put and call;
AttributeValue;DWXXAX;A;Amortization plan (reduction of principal by regular payments);
AttributeValue;DWXXBX;B;Amortization plan with call feature (the redemption of principal may occur as the result of the outstanding portion of the bond being called);
AttributeValue;DWXXTX;T;Amortization plan with put feature;
AttributeValue;DWXXLX;L;Amortization plan with put and call;
AttributeValue;DWXXPX;P;Perpetual (the debt instrument has no fixed maturity date and is only due for redemption in the case of the issuer's liquidation);
AttributeValue;DWXXQX;Q;Perpetual with call feature (the issue may be called for redemption at some time in the future);
AttributeValue;DWXXRX;R;Perpetual with put feature (the issue may be puttable for redemption at some time in the future);
AttributeValue;DWXXEX;E;Extendible;
Attribute;FourthAttribute;Form;negotiability, transmission;
AttributeValue;DWXXXB;B;Bearer (the owner is not registered in the books of the issuer or of the registrar);
AttributeValue;DWXXXR;R;Registered (securities are recorded in the name of the owner on the books of the issuer or the issuer's registrar and can only be transferred to another owner when endorsed by the registered owner);
AttributeValue;DWXXXN;N;Bearer/registered (securities are issued in both bearer and registered form but with the same identification number);
AttributeValue;DWXXXM;M;Others (miscellaneous);
Group;DTXXXX;Medium-term notes;"Negotiable debt instruments offered under a program agreement through one or more dealers upon request of the issuer. The program defines the terms and conditions of the notes.";
Attribute;FirstAttribute;Type of interest or cash payment;;
AttributeValue;DTFXXX;F;Fixed rate (all interest payments are known at issuance and remain constant for the life of the issue);
AttributeValue;DTZXXX;Z;"Zero rate/discounted [no periodical interest payments are made; the interest charge (discount) is the difference between maturity value and proceeds at time of acquisition]";
AttributeValue;DTVXXX;V;"Variable (the interest rate is subject to adjustment through the life of the issue; includes graduated, i.e. step-up/step-down, floating and indexed interest rates)";
AttributeValue;DTKXXX;K;Payment in kind (pays interest using other assets instead of cash);
Attribute;SecondAttribute;Guarantee or ranking;indicates, in the case of the issuer's inability to settle, whether the debt issue is additionally secured): Guideline: the values N (senior), O (senior subordinated), Q (junior) and J (junior subordinated) may only be used for unsecured securities. P (negative pledge) may only be used for unsecured securities that are neither senior nor junior. U (unsecured) may be used only if one of these codes does not apply to the relevant security.;
AttributeValue;DTXTXX;T;Government guarantee [the debt instrument is guaranteed by a federal, state, (semi)-government, sovereigns, agencies];
AttributeValue;DTXGXX;G;"Joint guarantee [the debt instrument is guaranteed by an entity (e.g. corporation) other than the issuer; not a federal or state government]";
AttributeValue;DTXSXX;S;Secured (debt issue against which specific assets are pledged to secure the obligation, e.g. mortgage or receivables);
AttributeValue;DTXUXX;U;Unsecured/unguaranteed (the direct obligations of the issuer rest solely on its general credit);
AttributeValue;DTXPXX;P;Negative pledge (the borrower agrees not to pledge any assets if such pledging would result in less security for the agreement's bondholders);
AttributeValue;DTXNXX;N;Senior (applies to senior debts that are placed before senior subordinated, junior and junior subordinated in the ranking in the event of liquidation);
AttributeValue;DTXOXX;O;Senior subordinated (applies to senior subordinated debts that are placed before junior and junior subordinated in the ranking in the event of liquidation);
AttributeValue;DTXQXX;Q;Junior (applies to junior debts that are placed before junior subordinated in the ranking in the event of liquidation);
AttributeValue;DTXJXX;J;Junior subordinated (applies to junior subordinated debts in the ranking in the event of liquidation);
AttributeValue;DTXCXX;C;Supranational (organization defined as being beyond the scope or borders of any one nation such as two or more central banks or two or more central governments. Examples of supranational include the United Nations, the European Union, the European Investment Bank and the World Bank);
Attribute;ThirdAttribute;Redemption/reimbursement;indicates the retirement provisions made for the debt issue;
AttributeValue;DTXXFX;F;Fixed maturity (the principal amount is repaid in full at maturity);
AttributeValue;DTXXGX;G;Fixed maturity with call feature (the issue may be called for redemption prior to the fixed maturity date);
AttributeValue;DTXXCX;C;Fixed maturity with put feature (the holder may request the reimbursement of his bonds prior to the maturity date);
AttributeValue;DTXXDX;D;Fixed maturity with put and call;
AttributeValue;DTXXAX;A;Amortization plan (reduction of principal by regular payments);
AttributeValue;DTXXBX;B;Amortization plan with call feature (the redemption of principal may occur as the result of the outstanding portion of the bond being called);
AttributeValue;DTXXTX;T;Amortization plan with put feature;
AttributeValue;DTXXLX;L;Amortization plan with put and call;
AttributeValue;DTXXPX;P;Perpetual (the debt instrument has no fixed maturity date and is only due for redemption in the case of the issuer's liquidation);
AttributeValue;DTXXQX;Q;Perpetual with call feature (the issue may be called for redemption at some time in the future);
AttributeValue;DTXXRX;R;Perpetual with put feature (the issue may be puttable for redemption at some time in the future);
AttributeValue;DTXXEX;E;Extendible;
Attribute;FourthAttribute;Form;negotiability, transmission;
AttributeValue;DTXXXB;B;Bearer (the owner is not registered in the books of the issuer or of the registrar);
AttributeValue;DTXXXR;R;Registered (securities are recorded in the name of the owner on the books of the issuer or the issuer's registrar and can only be transferred to another owner when endorsed by the registered owner);
AttributeValue;DTXXXN;N;Bearer/registered (securities are issued in both bearer and registered form but with the same identification number);
AttributeValue;DTXXXM;M;Others (miscellaneous);
Group;DYXXXX;Money market instruments;"Financial instruments designated at issuance as such with a short-term life, for instance treasury bills and commercial paper including municipal money market instruments.";
Attribute;FirstAttribute;Type of interest or cash payment;;
AttributeValue;DYFXXX;F;Fixed rate (all interest payments are known at issuance and remain constant for the life of the issue);
AttributeValue;DYZXXX;Z;"Zero rate/discounted [no periodical interest payments are made; the interest charge (discount) is the difference between maturity value and proceeds at time of acquisition]";
AttributeValue;DYVXXX;V;"Variable (the interest rate is subject to adjustment through the life of the issue; includes graduated, i.e. step-up/step-down, floating and indexed interest rates)";
AttributeValue;DYKXXX;K;Payment in kind (pays interest using other assets instead of cash);
Attribute;SecondAttribute;Guarantee or ranking;indicates, in the case of the issuer's inability to settle, whether the debt issue is additionally secured): Guideline: the values N (senior), O (senior subordinated), Q (junior) and J (junior subordinated) may only be used for unsecured securities. P (negative pledge) may only be used for unsecured securities that are neither senior nor junior. U (unsecured) may be used only if one of these codes does not apply to the relevant security.;
AttributeValue;DYXTXX;T;Government guarantee [the debt instrument is guaranteed by a federal, state, (semi)-government, sovereigns, agencies];
AttributeValue;DYXGXX;G;"Joint guarantee [the debt instrument is guaranteed by an entity (e.g. corporation) other than the issuer; not a federal or state government]";
AttributeValue;DYXSXX;S;Secured (debt issue against which specific assets are pledged to secure the obligation, e.g. mortgage or receivables);
AttributeValue;DYXUXX;U;Unsecured/unguaranteed (the direct obligations of the issuer rest solely on its general credit);
AttributeValue;DYXPXX;P;Negative pledge (the borrower agrees not to pledge any assets if such pledging would result in less security for the agreement's bondholders);
AttributeValue;DYXNXX;N;Senior (applies to senior debts that are placed before senior subordinated, junior and junior subordinated in the ranking in the event of liquidation);
AttributeValue;DYXOXX;O;Senior subordinated (applies to senior subordinated debts that are placed before junior and junior subordinated in the ranking in the event of liquidation);
AttributeValue;DYXQXX;Q;Junior (applies to junior debts that are placed before junior subordinated in the ranking in the event of liquidation);
AttributeValue;DYXJXX;J;Junior subordinated (applies to junior subordinated debts in the ranking in the event of liquidation);
AttributeValue;DYXCXX;C;Supranational (organization defined as being beyond the scope or borders of any one nation such as two or more central banks or two or more central governments. Examples of supranational include the United Nations, the European Union, the European Investment Bank and the World Bank);
Attribute;ThirdAttribute;Not applicable/undefined;;
AttributeValue;DYXXXX;X;Not applicable/undefined;
Attribute;FourthAttribute;Form;negotiability, transmission;
AttributeValue;DYXXXB;B;Bearer (the owner is not registered in the books of the issuer or of the registrar);
AttributeValue;DYXXXR;R;Registered (securities are recorded in the name of the owner on the books of the issuer or the issuer's registrar and can only be transferred to another owner when endorsed by the registered owner);
AttributeValue;DYXXXN;N;Bearer/registered (securities are issued in both bearer and registered form but with the same identification number);
AttributeValue;DYXXXM;M;Others (miscellaneous);
Group;DSXXXX;Structured instruments (capital protection);"Capital protected structured instruments offer investors exposure to chosen underlying assets using various approaches and offering a large variety of asymmetric pay-off profiles. There are one or more reference entities underlying the product. Redemption is made at least in the amount of the conditional capital protection at maturity, provided that no credit event by the reference entity has occurred. Conditional capital protection only applies to the nominal amount and not to the purchase price. The general functioning of a capital guaranteed structured instrument is as follows: the notional amount is split into a zero bond, that will deliver the capital guarantee at maturity, and the difference between the zero bond’s value (= present value of the guarantee level at maturity) and the notional amount is used for structuring the performance component with options which deliver the agreed pay-off profile of the structured instrument.";
Attribute;FirstAttribute;Type;;
AttributeValue;DSAXXX;A;"Capital protection certificate with participation [minimum redemption at expiry equivalent to the capital protection; capital protection is defined as a percentage of the nominal amount (e.g. 100 %); capital protection refers to the nominal amount only, and not to the purchase price; the value of the product may fall below its capital protection value during its lifetime; participation is in the underlying price increase above the strike]";
AttributeValue;DSBXXX;B;"Capital protection convertible certificate [minimum redemption at expiry equivalent to the capital protection; capital protection is defined as a percentage of the nominal price (e.g. 100 %); capital protection refers to the nominal price only, and not to the purchase price; the value of the product may fall below its capital protection value during its lifetime; participation is in the underlying price increase above the conversion price; coupon payment is possible]";
AttributeValue;DSCXXX;C;"Barrier capital protection certificate [minimum redemption at expiry equivalent to the capital protection; capital protection is defined as a percentage of the nominal price (e.g. 100 %); capital protection refers to the nominal amount only, and not to the purchase price; the value of the product may fall below its capital protection value during its lifetime; participation is in the underlying price increase above the strike up to the barrier; possibility of rebate payment once barrier is breached; limited profit potential]";
AttributeValue;DSDXXX;D;"Capital protection certificate with coupons [minimum redemption at expiry equivalent to the capital protection; capital protection is defined as a percentage of the nominal price (e.g. 100 %); capital protection refers to the nominal amount only, and not to the purchase price; the value of the product may fall below its capital protection value during its lifetime; the coupon amount is dependent on the development of the underlying asset; periodic coupon payment is expected]";
AttributeValue;DSMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Distribution;indicates the cash distribution provided by the structured instrument;
AttributeValue;DSXDXX;D;Dividend payments (depending on strategy of the structured instrument);
AttributeValue;DSXFXX;F;Fixed interest payments;
AttributeValue;DSXYXX;Y;No payments;
AttributeValue;DSXVXX;V;Variable interest payments;
AttributeValue;DSXMXX;M;Others (miscellaneous);
Attribute;ThirdAttribute;Repayment;indicates the repayment form provided by the structured instrument;
AttributeValue;DSXXFX;F;Cash repayment;
AttributeValue;DSXXVX;V;Physical repayment;
AttributeValue;DSXXMX;M;Others (miscellaneous);
Attribute;FourthAttribute;Underlying assets;indicates the type of underlying assets in which the structured instrument participates;
AttributeValue;DSXXXB;B;Baskets;
AttributeValue;DSXXXS;S;Equities;
AttributeValue;DSXXXD;D;Debt instruments;
AttributeValue;DSXXXT;T;Commodities;
AttributeValue;DSXXXC;C;Currencies (specified exchange rate);
AttributeValue;DSXXXI;I;Indices (the performance of an index);
AttributeValue;DSXXXN;N;Interest rates (specified amount based on the future level of interest rates);
AttributeValue;DSXXXM;M;Others (miscellaneous);
Group;DEXXXX;Structured instruments (without capital protection);"A structured instrument without capital protection is a short-term note linked to an underlying stock. The security offers a steady stream of income due to the payment of a coupon rate. The redemption at the end of the term is determined on the basis of the performance and final fixing of the underlying asset: a redemption at the nominal value is guaranteed as long as the underlying asset has not touched its barrier during relevant barrier monitoring. If the underlying asset has touched its barrier but is again above the strike price at final fixing, the nominal price is also repaid. Nevertheless, if the underlying asset has touched its barrier during barrier monitoring and closes below the strike price at final fixing, the underlying asset is delivered or cash compensation paid, provided that no credit event by the reference entity has occurred. Depending on the characteristics of the product, either a coupon or a discount to the underlying asset can apply. A coupon is paid out regardless of the performance of the underlying asset, provided that no credit event by the reference entity has occurred.";
Attribute;FirstAttribute;Type of debt structured instrument;;
AttributeValue;DEAXXX;A;"Discount certificate [should the underlying asset close below the strike on expiry, the underlying asset(s) and/or a cash amount is redeemed; discount certificates enable investors to acquire the underlying asset at a lower price; it corresponds to a buy-write-strategy; it has reduced risk compared to a direct investment into the underlying asset; with higher risk levels multiple underlying assets (worst-of) allow for higher discounts; limited profit opportunity (Cap)]";
AttributeValue;DEBXXX;B;"Barrier discount certificate [the maximum redemption amount (Cap) is paid out if the barrier is never breached; barrier discount certificates enable investors to acquire the underlying asset(s) at a lower price; due to the barrier, the probability of maximum redemption is higher; the discount, however, is smaller than for a discount certificate; if the barrier is breached the product changes into a discount certificate; it has reduced risk compared to a direct investment into the underlying asset; limited profit potential (Cap); with higher risk levels multiple underlying assets (worst-of) allow for higher discounts or a lower barrier]";
AttributeValue;DECXXX;C;"Reverse convertible [should the underlying asset close below the strike on expiry, the underlying asset(s) and/or a cash amount is redeemed; should the underlying asset close above the strike at expiry, the nominal amount plus the coupon is paid at redemption; the coupon is paid regardless of the underlying development; it has reduced risk compared to a direct investment into the underlying asset; with higher risk levels, multiple underlying assets (worst-of) allow for higher coupons; limited profit potential (Cap)]";
AttributeValue;DEDXXX;D;"Barrier reverse convertible [should the barrier never be breached, the nominal price plus coupon is paid at redemption; due to the barrier, the probability of maximum redemption is higher; the coupon, however, is smaller than for a reverse convertible; if the barrier is breached the product changes into a reverse convertible; the coupon is paid regardless of the underlying development; it has reduced risk compared to a direct investment into the underlying asset(s); with higher risk levels, multiple underlying assets (worst-of) allow for higher coupons or lower barriers; limited profit potential (Cap)]";
AttributeValue;DEEXXX;E;"Express certificate [should the underlying trade above the strike on the observation date, an early redemption consisting of nominal price plus an additional coupon amount is paid; it offers the possibility of an early redemption combined with an attractive yield opportunity; it has reduced risk compared to a direct investment into the underlying asset(s); with higher risk levels, multiple underlying assets (worst-of) allow for higher coupons or lower barriers; limited profit opportunity (Cap)]";
AttributeValue;DEMXXX;M;Others (miscellaneous);
Attribute;SecondAttribute;Distribution;indicates the cash distribution provided by the structured instrument;
AttributeValue;DEXDXX;D;Dividend payments (depending on strategy of the structured instrument);
AttributeValue;DEXYXX;Y;No payments;
AttributeValue;DEXMXX;M;Others (miscellaneous);
Attribute;ThirdAttribute;Repayment;indicates the repayment form provided by the structured instrument;
AttributeValue;DEXXRX;R;Repayment in cash (depending on the underlying, if the barrier is not breached);
AttributeValue;DEXXSX;S;Repayment in assets;
AttributeValue;DEXXCX;C;Repayment in assets and cash;
AttributeValue;DEXXTX;T;Repayment in assets or cash;
AttributeValue;DEXXMX;M;Others (miscellaneous);
Attribute;FourthAttribute;Underlying assets;indicates the type of underlying assets in which the structured instrument participates;
AttributeValue;DEXXXB;B;Baskets;
AttributeValue;DEXXXS;S;Equities;
AttributeValue;DEXXXD;D;Debt instruments;
AttributeValue;DEXXXT;T;Commodities;
AttributeValue;DEXXXC;C;Currencies (specified exchange rate);
AttributeValue;DEXXXI;I;Indices (the performance of an index);
AttributeValue;DEXXXN;N;Interest rates (specified amount based on the future level of interest rates);
AttributeValue;DEXXXM;M;Others (miscellaneous);
Group;DGXXXX;Mortgage-backed securities;"Mortgage-backed securities are debt obligations that represent claims to the cash flows from pools of mortgage loans, most commonly on residential property. Mortgage loans are purchased from banks, mortgage companies and other originators, and then assembled into pools by a governmental, quasi-governmental or private entity. The entity then issues securities that represent claims on the principal and interest payments made by borrowers on the loans in the pool, a process known as securitization.";
Attribute;FirstAttribute;Type of interest;;
AttributeValue;DGFXXX;F;Fixed rate (all interest payments are known at issuance and remain constant for the life of the issue);
AttributeValue;DGZXXX;Z;"Zero rate/discounted [no periodical interest payments are made; the interest charge (discount) is the difference between maturity value and proceeds at time of acquisition]";
AttributeValue;DGVXXX;V;"Variable (the interest rate is subject to adjustment through the life of the issue; includes graduated, i.e. step-up/step-down, floating and indexed interest rates)";
Attribute;SecondAttribute;Guarantee or ranking;indicates, in the case of the issuer's inability to settle, whether the debt issue is additionally secured. Guideline: the values N (senior), O (senior subordinated), Q (junior) and J (junior subordinated) may only be used for unsecured securities. P (negative pledge) may only be used for unsecured securities that are neither senior nor junior. U (unsecured) may be used only if one of these codes does not apply to the relevant security.;
AttributeValue;DGXTXX;T;Government guarantee [the debt instrument is guaranteed by a federal, state, (semi)-government, sovereigns, agencies];
AttributeValue;DGXGXX;G;"Joint guarantee [the debt instrument is guaranteed by an entity (e.g. corporation) other than the issuer; not a federal or state government]";
AttributeValue;DGXSXX;S;Secured (debt issue against which specific assets are pledged to secure the obligation, e.g. mortgage or receivables);
AttributeValue;DGXUXX;U;Unsecured/unguaranteed (the direct obligations of the issuer rest solely on its general credit);
AttributeValue;DGXPXX;P;Negative pledge (the borrower agrees not to pledge any assets if such pledging would result in less security for the agreement's bondholders);
AttributeValue;DGXNXX;N;Senior (applies to senior debts that are placed before senior subordinated, junior and junior subordinated in the ranking in the event of liquidation);
AttributeValue;DGXOXX;O;Senior subordinated (applies to senior subordinated debts that are placed before junior and junior subordinated in the ranking in the event of liquidation);
AttributeValue;DGXQXX;Q;Junior (applies to junior debts that are placed before junior subordinated in the ranking in the event of liquidation);
AttributeValue;DGXJXX;J;Junior subordinated (applies to junior subordinated debts in the ranking in the event of liquidation);
AttributeValue;DGXCXX;C;Supranational (organization defined as being beyond the scope or borders of any one nation such as two or more central banks or two or more central governments. Examples of supranational include the United Nations, the European Union, the European Investment Bank and the World Bank);
Attribute;ThirdAttribute;Redemption/reimbursement;indicates the retirement provisions made for the debt issue;
AttributeValue;DGXXFX;F;Fixed maturity (the principal amount is repaid in full at maturity);
AttributeValue;DGXXGX;G;Fixed maturity with call feature (the issue may be called for redemption prior to the fixed maturity date);
AttributeValue;DGXXCX;C;Fixed maturity with put feature (the holder may request the reimbursement of his bonds prior to the maturity date);
AttributeValue;DGXXDX;D;Fixed maturity with put and call;
AttributeValue;DGXXAX;A;Amortization plan (reduction of principal by regular payments);
AttributeValue;DGXXBX;B;Amortization plan with call feature (the redemption of principal may occur as the result of the outstanding portion of the bond being called);
AttributeValue;DGXXTX;T;Amortization plan with put feature;
AttributeValue;DGXXLX;L;Amortization plan with put and call;
AttributeValue;DGXXPX;P;Perpetual (the debt instrument has no fixed maturity date and is only due for redemption in the case of the issuer's liquidation);
AttributeValue;DGXXQX;Q;Perpetual with call feature (the issue may be called for redemption at some time in the future);
AttributeValue;DGXXRX;R;Perpetual with put feature (the issue may be puttable for redemption at some time in the future);
AttributeValue;DGXXEX;E;Extendible;
Attribute;FourthAttribute;Form;negotiability, transmission;
AttributeValue;DGXXXB;B;Bearer (the owner is not registered in the books of the issuer or of the registrar);
AttributeValue;DGXXXR;R;Registered (securities are recorded in the name of the owner on the books of the issuer or the issuer's registrar and can only be transferred to another owner when endorsed by the registered owner);
AttributeValue;DGXXXN;N;Bearer/registered (securities are issued in both bearer and registered form but with the same identification number);
AttributeValue;DGXXXM;M;Others (miscellaneous);
Group;DAXXXX;Asset-backed securities;"Debt instruments backed by receivables other than those arising out of real estate, loans or mortgages.";
Attribute;FirstAttribute;Type of interest;;
AttributeValue;DAFXXX;F;Fixed rate (all interest payments are known at issuance and remain constant for the life of the issue);
AttributeValue;DAZXXX;Z;"Zero rate/discounted [no periodical interest payments are made; the interest charge (discount) is the difference between maturity value and proceeds at time of acquisition]";
AttributeValue;DAVXXX;V;"Variable (the interest rate is subject to adjustment through the life of the issue; includes graduated, i.e. step-up/step-down, floating and indexed interest rates)";
Attribute;SecondAttribute;Guarantee or ranking;indicates, in the case of the issuer's inability to settle, whether the debt issue is additionally secured. Guideline: the values N (senior), O (senior subordinated), Q (junior) and J (junior subordinated) may only be used for unsecured securities. P (negative pledge) may only be used for unsecured securities that are neither senior nor junior. U (unsecured) may be used only if one of these codes does not apply to the relevant security.;
AttributeValue;DAXTXX;T;Government guarantee [the debt instrument is guaranteed by a federal, state, (semi)-government, sovereigns, agencies];
AttributeValue;DAXGXX;G;"Joint guarantee [the debt instrument is guaranteed by an entity (e.g. corporation) other than the issuer; not a federal or state government]";
AttributeValue;DAXSXX;S;Secured (debt issue against which specific assets are pledged to secure the obligation, e.g. mortgage or receivables);
AttributeValue;DAXUXX;U;Unsecured/unguaranteed (the direct obligations of the issuer rest solely on its general credit);
AttributeValue;DAXPXX;P;Negative pledge (the borrower agrees not to pledge any assets if such pledging would result in less security for the agreement's bondholders);
AttributeValue;DAXNXX;N;Senior (applies to senior debts that are placed before senior subordinated, junior and junior subordinated in the ranking in the event of liquidation);
AttributeValue;DAXOXX;O;Senior subordinated (applies to senior subordinated debts that are placed before junior and junior subordinated in the ranking in the event of liquidation);
AttributeValue;DAXQXX;Q;Junior (applies to junior debts that are placed before junior subordinated in the ranking in the event of liquidation);
AttributeValue;DAXJXX;J;Junior subordinated (applies to junior subordinated debts in the ranking in the event of liquidation);
AttributeValue;DAXCXX;C;Supranational (organization defined as being beyond the scope or borders of any one nation such as two or more central banks or two or more central governments. Examples of supranational include the United Nations, the European Union, the European Investment Bank and the World Bank);
Attribute;ThirdAttribute;Redemption/reimbursement;indicates the retirement provisions made for the debt issue;
AttributeValue;DAXXFX;F;Fixed maturity (the principal amount is repaid in full at maturity);
AttributeValue;DAXXGX;G;Fixed maturity with call feature (the issue may be called for redemption prior to the fixed maturity date);
AttributeValue;DAXXCX;C;Fixed maturity with put feature (the holder may request the reimbursement of his bonds prior to the maturity date);
AttributeValue;DAXXDX;D;Fixed maturity with put and call;
AttributeValue;DAXXAX;A;Amortization plan (reduction of principal by regular payments);
AttributeValue;DAXXBX;B;Amortization plan with call feature (the redemption of principal may occur as the result of the outstanding portion of the bond being called);
AttributeValue;DAXXTX;T;Amortization plan with put feature;
AttributeValue;DAXXLX;L;Amortization plan with put and call;
AttributeValue;DAXXPX;P;Perpetual (the debt instrument has no fixed maturity date and is only due for redemption in the case of the issuer's liquidation);
AttributeValue;DAXXQX;Q;Perpetual with call feature (the issue may be called for redemption at some time in the future);
AttributeValue;DAXXRX;R;Perpetual with put feature (the issue may be puttable for redemption at some time in the future);
AttributeValue;DAXXEX;E;Extendible;
Attribute;FourthAttribute;Form;negotiability, transmission;
AttributeValue;DAXXXB;B;Bearer (the owner is not registered in the books of the issuer or of the registrar);
AttributeValue;DAXXXR;R;Registered (securities are recorded in the name of the owner on the books of the issuer or the issuer's registrar and can only be transferred to another owner when endorsed by the registered owner);
AttributeValue;DAXXXN;N;Bearer/registered (securities are issued in both bearer and registered form but with the same identification number);
AttributeValue;DAXXXM;M;Others (miscellaneous);
Group;DNXXXX;Municipal bonds;"Bond issued by a state, provincial, city or local government excluding municipal money market securities, which shall be classified as debt, money market instruments.";
Attribute;FirstAttribute;Type of interest;;
AttributeValue;DNFXXX;F;Fixed rate (all interest payments are known at issuance and remain constant for the life of the issue);
AttributeValue;DNZXXX;Z;"Zero rate/discounted [no periodical interest payments are made; the interest charge (discount) is the difference between maturity value and proceeds at time of acquisition]";
AttributeValue;DNVXXX;V;"Variable (the interest rate is subject to adjustment through the life of the issue; includes graduated, i.e. step-up/step-down, floating and indexed interest rates)";
Attribute;SecondAttribute;Guarantee or ranking;indicates, in the case of the issuer's inability to settle, whether the debt issue is additionally secured. Guideline: the values N (senior), O (senior subordinated), Q (junior) and J (junior subordinated) may only be used for unsecured securities. P (negative pledge) may only be used for unsecured securities that are neither senior nor junior. U (unsecured) may be used only if one of these codes does not apply to the relevant security.;
AttributeValue;DNXTXX;T;Government guarantee [the debt instrument is guaranteed by a federal, state, (semi)-government, sovereigns, agencies];
AttributeValue;DNXGXX;G;"Joint guarantee [the debt instrument is guaranteed by an entity (e.g. corporation) other than the issuer; not a federal or state government]";
